url,content per paragraf,label-positif,label-persuasif,label-produk,perspektif-tunggal,labels,true label,predicted label
https://tekno.sindonews.com/read/807727/776/pengertian-absen-online-dan-kelebihannya-dibandingkan-absen-manual-1656061582,"Absen Online kini mulai merambah ke berbagai perusahaan menggantikan absen manual yang dirasa sudah tidak terlalu relevan lagi. Sama halnya dengan jenis absensi lainnya, laporan absen online juga berisi informasi tentang waktu hadir dan pergi karyawan termasuk keterlambatan dan jam lembur. Hal ini penting bagi perusahaan yang menerapkan aturan gaji dengan jumlah kehadiran karyawannya dalam format absensi. Tak hanya itu saja, laporan kehadiran juga digunakan untuk mengevaluasi setiap karyawan di perusahaan yang berujung juga pada penilaian kinerja karyawan dan produktivitas perusahaan. Berikut ini akan diulas mengenai absen online dan manfaatnya bagi perusahaan.",0,0,1,1,1,1,1
https://tekno.sindonews.com/read/807727/776/pengertian-absen-online-dan-kelebihannya-dibandingkan-absen-manual-1656061585,"Setiap hari karyawan melakukan absen dengan menuliskan jam kehadiran beserta tanda tangannya sebagai bukti kehadiran. Begitu pula saat hendak pulang. Format absensi manual umumnya berupa tabel yang memuat beberapa informasi seperti nama, jabatan, tanggal, jam kedatangan, jam pulang, dan keterangan. Kelemahan dari absen manual adalah rawan terjadi kecurangan seperti titip absen atau memalsukan jumlah kedatangan. Selain itu, rekapitulasi data secara manual membutuhkan waktu yang tidak sebentar dan hasilnya pun belum tentu akurat. Itulah mengapa saat ini banyak perusahaan yang beralih ke absen dengan format online.",1,1,0,1,1,1,1
https://tekno.sindonews.com/read/807727/776/pengertian-absen-online-dan-kelebihannya-dibandingkan-absen-manual-1656061589,"3. Mengurangi pekerjaan administratif sehingga HR bisa lebih fokus melakukan perancangan program pengembangan kinerja karyawan. 4. Pengambilan keputusan strategis lebih mudah karena didukung oleh data yang disimpan dalam server berbasis cloud sehingga dapat diakses kapan saja bahkan melalui perangkat lain di luar kantor. Selain itu, sistem cloud juga lebih up to date sehingga HR dapat memantau jika ada data kehadiran karyawan baru yang masuk.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/799655/776/manfaatkan-fitur-assistive-ball-di-oppo-a96-lakukan-banyak-hal-hanya-dengan-satu-jari-1655352412,"Nah, untuk mengkonfigurasi Assistive Ball langkahnya cukup mudah. Pengguna hanya perlu masuk ke Pengaturan > Bantuan Praktis > Assistive Ball > pilih satu Mode. Assistive Ball sendiri hadir dengan dua pilihan mode, yakni Gesture Operations dan Tap Menu. Ketika memilih Operasi Gestur, pengguna dapat menetapkan tindakan yang berbeda ke Ketuk, Ketuk Ganda, atau Tekan Terus. Misalnya, tetapkan “Beranda“ ke “Tekan Terus“, lalu dapat menekan Assistive Ball untuk masuk ke Layar Beranda.",1,1,0,1,1,1,1
https://tekno.sindonews.com/read/799617/776/seberapa-kuat-baterai-oppo-a-series-1655348813,"Nah, saat ini kita tidak perlu bingung menentukan smartphone yang memiliki ketahanan baterai sangat lama. Di pasaran ada smartphone OPPO A Series yang cocok untuk kalian yang mobilitasnya tinggi. OPPO A Series yang terdiri dari OPPO A55, OPPO A76, dan OPPO A96, sudah dibekali dengan baterai jumbo 5000mAh. Ketiganya juga telah dilengkapi dengan fitur pengisian daya cepat serta penghemat baterai.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/799617/776/seberapa-kuat-baterai-oppo-a-series-1655348814,"OPPO melengkapi A55 dengan baterai 5000mAh yang sudah dilengkapi 18 Watt Fast Charge. Dengan ini, perangkat dapat mengisi ulang hingga 33% hanya dalam waktu 30 menit. Di atas kertas, OPPO A55 mampu melakukan streaming video daring hingga 16,3 jam. Dengan mengaktifkan Mode Hemat Daya Super, daya 5% dapat bertahan untuk melakukan panggilan telepon selama 88 menit. Baterai OPPO A76 juga berkapasitas 5000mAh dan sudah mendukung pengisian daya cepat 33W SUPERVOOC. Pengisian 5 menit saja mampu untuk melakukan panggilan telepon hingga 3 jam.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/799617/776/seberapa-kuat-baterai-oppo-a-series-1655348815,"Kemudian OPPO A96 dibekali dengan baterai berkapasitas 5.000mAh juga sudah mendukung teknologi pengisian daya cepat 33W SUPERVOOCTM. Dengan dukungan teknologi pengisian baterai tersebut, OPPO A96 dapat terisi 55 persen dalam waktu 30 menit dan mengisi penuh hingga 100 persen hanya dalam waktu satu jam. Menariknya, baterai OPPO A96 ini bisa memberi pasokan daya untuk WhatsApp selama 14 jam, streaming YouTube 17 jam, dan mendengarkan musik hingga 39 jam.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/757169/776/ini-6-merk-laptop-terbaik-untuk-mahasiswa-harga-murah-spesifikasi-melimpah-1651147484,"5. Laptop Toshiba Portege X20W Selanjutnya ada Toshiba Portege X20W yang menjadi salah satu merk laptop terbaik di 2022 yang memiliki kemampuan handal dengan dukungan prosesor core i7-7500U dengan kecepatan mencapai 3,5 GHz cocok untuk mendukung pekerjaan kelas ringan hingga berat. Laptop mewah Toshiba ini memiliki bobot 1,1 kg dengan ketebalan 15,4 mm yang cukup ringan dan compact. Laptop terbaik Toshiba Portege X20W hadir dengan layar berdiagonal 12,5 inch dengan resolusi FullHD 1920 x 1080 piksel, mendukung sentuhan hingga 10 jari, anti-glare, serta dilindungi oleh antigores Corning Gorilla Glass 4 yang kokoh. Sedangkan untuk mesin utama mengandalkan dukungan prosesor Intel Core i7-7500U yang mampu melaju hingga kecepatan hingga 3,5 GHz, RAM 8GB, dan penyimpanan SSD up to 256GB, Windows 10 Professional 64-bit serta dukungan baterai yang tahan lama hingga bertahan selama 16 jam.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/755991/776/oppo-series-ini-rekomendasi-smartphone-dengan-kamera-mumpuni-1651050297,"OPPO A76. OPPO A76 hadir dengan membawa layar HD berukuran 6,56 inci dengan screen-to-body ratio sebesar 89,9 persen. Layar ini juga sudah mendukung refresh rate hingga 90Hz dan touch sampling 180Hz. Di sektor kamera, OPPO A76 dilengkapi dengan dua kamera belakang yang terdiri dari kamera utama 13MP dan kamera portrait 2MP. Selain itu ada juga disematkan kamera selfie beresolusi 8MP. Untuk dapur pacunya mengandalkan prosesor Snapdragon 680 yang dipadu dengan RAM 6GB dan memori internal 128GB. Menariknya, baik RAM dan memori internalnya ini dapat diperluas. Baterai OPPO A76 berkapasitas 5000mAh dan sudah mendukung pengisian daya cepat 33W SUPERVOOC. Pengisian 5 menit saja disebut mampu untuk melakukan panggilan hingga 3 jam. Sistem operasi smartphone yang terbilang masih baru ini berjalan di Android 12 dengan antarmuka ColorOS 11. Untuk harganya, OPPO A76 dijual dengan harga Rp3.399.000.",1,1,1,1,1,1,1
https://tekno.sindonews.com/read/755881/776/epson-resmikan-solution-center-indonesia-lot-304-showcase-produk-epson-terlengkap-di-indonesia-1651046696,"M. Husni Nurdin selaku Head of Finance and Corporate Service Division PT Epson Indonesia menambahkan, para pengunjung yang datang ke LOT 304 ini tidak hanya dapat melakukan transaksi pembelian ataupun service, tapi melihat display berbagai macam produk unggulan dari Epson sehingga para pengunjung dapat berinteraksi dengan produk-produk Epson yang telah disiapkan untuk dicoba. “Kami percaya bahwa hal ini dapat menarik minat pengunjung untuk mendatangi LOT 304 dan memberikan experience bagi para pelanggan sebelum memutuskan untuk membeli berbagai produk yang kami sediakan,” katanya. Adapun berbagi macam produk yang ditampilkan pada Espon Solution Center LOT 304 berupa:",1,1,1,1,1,1,1
